Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
788,364.103809,364.10379,364.10379,4855418,,0,-1,-0.053,-0.019,,,9,1.117647059,0.470588235,,,0,,C17 H18 N O8,17,18,8,0,1,,,,
789,365.087874,365.087806,365.087806,14912001,,,-1,-0.188,-0.069,,,9,1.058823529,0.529411765,,,0,,C17 H17 O9,17,17,9,0,0,,,,
790,365.124096,365.124191,365.124191,62786084,,,-1,0.26,0.095,,,8,1.222222222,0.444444444,,,0,,C18 H21 O8,18,21,8,0,0,,,,
791,365.135405,365.135425,365.135425,6531629,,0,-1,0.054,0.02,,,8,1.294117647,0.411764706,,,0,,C17 H21 N2 O7,17,21,7,0,2,,,,
792,365.16052,365.160577,365.160577,52906564,,,-1,0.156,0.057,,,7,1.368421053,0.368421053,,,0,,C19 H25 O7,19,25,7,0,0,,,,
793,365.196907,365.196962,365.196962,5661286,,,-1,0.15,0.055,,,6,1.5,0.3,,,0,,C20 H29 O6,20,29,6,0,0,,,,
794,366.1194,366.11944,366.11944,3305916,,0,-1,0.109,0.04,,,8,1.235294118,0.470588235,,,0,,C17 H20 N O8,17,20,8,0,1,,,,
795,367.103382,367.103456,367.103456,46371156,,,-1,0.2,0.074,,,8,1.176470588,0.529411765,,,0,,C17 H19 O9,17,19,9,0,0,,,,
796,367.118749,367.118712,367.118712,2581857,,,-1,-0.102,-0.038,,,12,0.952380952,0.285714286,,,0,,C21 H19 O6,21,19,6,0,0,,,,
797,367.139731,367.139841,367.139841,26292596,,,-1,0.302,0.111,,,7,1.333333333,0.444444444,,,0,,C18 H23 O8,18,23,8,0,0,,,,
798,367.17627,367.176227,367.176227,15933846,,,-1,-0.119,-0.044,,,6,1.473684211,0.368421053,,,0,,C19 H27 O7,19,27,7,0,0,,,,
799,368.080928,368.080947,368.080947,6049001,,1,-1,0.052,0.019,,,8,1.1875,0.4375,,,0,,C16 H18 N O7 S,16,18,7,1,1,,,,
800,368.098633,368.098705,368.098705,3507450,,0,-1,0.196,0.072,,,8,1.1875,0.5625,,,0,,C16 H18 N O9,16,18,9,0,1,,,,
801,368.113982,368.113961,368.113961,4640008,,0,-1,-0.056,-0.021,,,12,0.95,0.3,,,0,,C20 H18 N O6,20,18,6,0,1,,,,
802,368.135075,368.13509,368.13509,3441948,,0,-1,0.042,0.015,,,7,1.352941176,0.470588235,,,0,,C17 H22 N O8,17,22,8,0,1,,,,
803,368.146335,368.146324,368.146324,4626727,,0,-1,-0.03,-0.011,,,7,1.4375,0.4375,,,0,,C16 H22 N3 O7,16,22,7,0,3,,,,
804,368.244344,368.244247,368.244247,4070787,,0,-1,-0.264,-0.097,,,4,1.75,0.25,,,0,,C20 H34 N O5,20,34,5,0,1,,,,
805,369.049548,369.049706,369.049706,2787454,,,-1,0.429,0.158,,,4,1.5,0.916666667,,,0,,C12 H17 O11 S,12,17,11,1,0,,,,
806,369.082685,369.08272,369.08272,7729309,,,-1,0.095,0.035,,,8,1.125,0.625,,,0,,C16 H17 O10,16,17,10,0,0,,,,
807,369.112628,369.112581,369.112581,3225786,,0.5,-1,-0.128,-0.047,,,7,1.375,0.375,,,0,,C16 H21 N2 O6 S,16,21,6,1,2,,,,
